״̬,ACTION,,,,,,,,,,GOTO,,,,
,+,=,-,*,(,),ID,NUM,int,$,S,A,B,C,S'
0,,,,,,,shift 2,,shift 3,,,,,,1
1,,,,,,,,,,accept,,,,,
2,,shift 4,,,,,,,,,,,,,
3,,,,,,,shift 5,,,,,,,,
4,,,,,shift 9,,shift 10,shift 11,,,6,7,8,,
5,,,,,,,,,,reduce S' -> int ID,,,,,
6,shift 12,,shift 13,,,,,,,reduce S' -> ID = S,,,,,
7,reduce S -> A,,reduce S -> A,shift 14,,,,,,reduce S -> A,,,,,
8,reduce A -> B,,reduce A -> B,reduce A -> B,,,,,,reduce A -> B,,,,,
9,,,,,shift 18,,shift 19,shift 20,,,15,16,17,,
10,reduce B -> ID,,reduce B -> ID,reduce B -> ID,,,,,,reduce B -> ID,,,,,
11,reduce B -> NUM,,reduce B -> NUM,reduce B -> NUM,,,,,,reduce B -> NUM,,,,,
12,,,,,shift 9,,shift 10,shift 11,,,,21,8,,
13,,,,,shift 9,,shift 10,shift 11,,,,22,8,,
14,,,,,shift 9,,shift 10,shift 11,,,,,23,,
15,shift 24,,shift 25,,,shift 26,,,,,,,,,
16,reduce S -> A,,reduce S -> A,shift 27,,reduce S -> A,,,,,,,,,
17,reduce A -> B,,reduce A -> B,reduce A -> B,,reduce A -> B,,,,,,,,,
18,,,,,shift 18,,shift 19,shift 20,,,28,16,17,,
19,reduce B -> ID,,reduce B -> ID,reduce B -> ID,,reduce B -> ID,,,,,,,,,
20,reduce B -> NUM,,reduce B -> NUM,reduce B -> NUM,,reduce B -> NUM,,,,,,,,,
21,reduce S -> S + A,,reduce S -> S + A,shift 14,,,,,,reduce S -> S + A,,,,,
22,reduce S -> S - A,,reduce S -> S - A,shift 14,,,,,,reduce S -> S - A,,,,,
23,reduce A -> A * B,,reduce A -> A * B,reduce A -> A * B,,,,,,reduce A -> A * B,,,,,
24,,,,,shift 18,,shift 19,shift 20,,,,29,17,,
25,,,,,shift 18,,shift 19,shift 20,,,,30,17,,
26,reduce B -> ( S ),,reduce B -> ( S ),reduce B -> ( S ),,,,,,reduce B -> ( S ),,,,,
27,,,,,shift 18,,shift 19,shift 20,,,,,31,,
28,shift 24,,shift 25,,,shift 32,,,,,,,,,
29,reduce S -> S + A,,reduce S -> S + A,shift 27,,reduce S -> S + A,,,,,,,,,
30,reduce S -> S - A,,reduce S -> S - A,shift 27,,reduce S -> S - A,,,,,,,,,
31,reduce A -> A * B,,reduce A -> A * B,reduce A -> A * B,,reduce A -> A * B,,,,,,,,,
32,reduce B -> ( S ),,reduce B -> ( S ),reduce B -> ( S ),,reduce B -> ( S ),,,,,,,,,
